rank	word	count	level	source	flags
361	รพ	8139921	pre-a1	phupha-wordfreq	pythainlp|short-token-review
362	ถูก	8108094	pre-a1	phupha-wordfreq	pythainlp
363	หลาย	8103307	pre-a1	phupha-wordfreq	pythainlp
364	นาน	8059160	pre-a1	phupha-wordfreq	pythainlp
365	ทธิ	8050187	pre-a1	phupha-wordfreq	pythainlp
366	บ้าน	8040563	pre-a1	phupha-wordfreq	pythainlp
367	ต้น	8023409	pre-a1	phupha-wordfreq	pythainlp
368	ที่สุด	8002347	pre-a1	phupha-wordfreq	pythainlp
369	สว	7994629	pre-a1	phupha-wordfreq	pythainlp|short-token-review
370	อีก	7942618	pre-a1	phupha-wordfreq	pythainlp
371	สะ	7927796	pre-a1	phupha-wordfreq	pythainlp|short-token-review
372	สินค้า	7916500	pre-a1	phupha-wordfreq	pythainlp
373	ดล	7905695	pre-a1	phupha-wordfreq	pythainlp|short-token-review
374	ไห	7870278	pre-a1	phupha-wordfreq	pythainlp|short-token-review
375	คำ	7789031	pre-a1	phupha-wordfreq	pythainlp|short-token-review
376	สมา	7756637	pre-a1	phupha-wordfreq	pythainlp
377	เหม	7740394	pre-a1	phupha-wordfreq	pythainlp
378	ขาย	7717111	pre-a1	phupha-wordfreq	pythainlp
379	ลูก	7683300	pre-a1	phupha-wordfreq	pythainlp
380	ตอน	7665262	pre-a1	phupha-wordfreq	pythainlp
381	พระ	7648563	pre-a1	phupha-wordfreq	pythainlp
382	เรียน	7634266	pre-a1	phupha-wordfreq	pythainlp
383	กน	7611198	pre-a1	phupha-wordfreq	pythainlp|short-token-review
384	ฝา	7531964	pre-a1	phupha-wordfreq	pythainlp|short-token-review
385	จุ	7530231	pre-a1	phupha-wordfreq	pythainlp|short-token-review
386	บอล	7515192	pre-a1	phupha-wordfreq	pythainlp
387	นัง	7511484	pre-a1	phupha-wordfreq	pythainlp
388	ขน	7506386	pre-a1	phupha-wordfreq	pythainlp|short-token-review
389	แส	7453511	pre-a1	phupha-wordfreq	pythainlp|short-token-review
390	เปิด	7409506	pre-a1	phupha-wordfreq	pythainlp
391	ก่อ	7399288	pre-a1	phupha-wordfreq	pythainlp
392	บาท	7356754	pre-a1	phupha-wordfreq	pythainlp
393	วันที	7336870	pre-a1	phupha-wordfreq	pythainlp
394	วันที่	7331120	pre-a1	phupha-wordfreq	pythainlp
